"model_id","sample","outcome","family","lag_control","term","estimate","std_error","statistic","p_value","odds_ratio","stars","nobs"
"NSF_Hit15_baseline_full_sample","NSF","Hit15","logit","baseline_full_sample","RS",-0.48623896379753,0.0514968527475572,-9.44211030101437,3.65345905897517e-21,0.614934842589385,"***",668011
"NSF_Hit15_baseline_full_sample","NSF","Hit15","logit","baseline_full_sample","ID015F",-0.109965266496835,0.0175889564482951,-6.25194944453307,4.0536062485308e-10,0.895865251294683,"***",668011
"NSF_Hit15_baseline_full_sample","NSF","Hit15","logit","baseline_full_sample","RS:ID015F",0.293004986982833,0.0949851232940865,3.08474608255916,0.00203725998699003,1.34044947521353,"**",668011
"NSF_Hit15_baseline_lag_sample","NSF","Hit15","logit","baseline_lag_sample","RS",-0.48623896379753,0.0514968527475572,-9.44211030101437,3.65345905897517e-21,0.614934842589385,"***",668011
"NSF_Hit15_baseline_lag_sample","NSF","Hit15","logit","baseline_lag_sample","ID015F",-0.109965266496835,0.0175889564482951,-6.25194944453307,4.0536062485308e-10,0.895865251294683,"***",668011
"NSF_Hit15_baseline_lag_sample","NSF","Hit15","logit","baseline_lag_sample","RS:ID015F",0.293004986982833,0.0949851232940865,3.08474608255916,0.00203725998699003,1.34044947521353,"**",668011
"NSF_Hit15_plus_fund_lag","NSF","Hit15","logit","plus_fund_lag","RS",-0.479159558027687,0.0514978680659363,-9.30445426234317,1.34682197145972e-20,0.619303661938189,"***",668011
"NSF_Hit15_plus_fund_lag","NSF","Hit15","logit","plus_fund_lag","ID015F",-0.114359603578011,0.0175961967055887,-6.49910918202506,8.07970090679894e-11,0.8919371544131,"***",668011
"NSF_Hit15_plus_fund_lag","NSF","Hit15","logit","plus_fund_lag","fund_lag",-0.0318401235805525,0.00138563245793438,-22.9787656879935,7.60170623607298e-117,0.968661435822153,"***",668011
"NSF_Hit15_plus_fund_lag","NSF","Hit15","logit","plus_fund_lag","RS:ID015F",0.290898533294875,0.0949822978520041,3.06266051541663,0.00219378783620082,1.33762885227171,"**",668011
"NSFC_NC_baseline_full_sample","NSFC","NC","ols","baseline_full_sample","RS",-0.135334487568043,0.00884409946018586,-15.3022349168831,7.47939476615632e-53,NA,"***",1118851
"NSFC_NC_baseline_full_sample","NSFC","NC","ols","baseline_full_sample","ID015F",-0.0501809980836044,0.00268874152330027,-18.6633775127667,1.01033127255051e-77,NA,"***",1118851
"NSFC_NC_baseline_full_sample","NSFC","NC","ols","baseline_full_sample","RS:ID015F",0.243770626881476,0.0174380531583577,13.9792340731936,2.10529041060399e-44,NA,"***",1118851
"NSFC_NC_baseline_lag_sample","NSFC","NC","ols","baseline_lag_sample","RS",-0.135334487568043,0.00884409946018586,-15.3022349168831,7.47939476615632e-53,NA,"***",1118851
"NSFC_NC_baseline_lag_sample","NSFC","NC","ols","baseline_lag_sample","ID015F",-0.0501809980836044,0.00268874152330027,-18.6633775127667,1.01033127255051e-77,NA,"***",1118851
"NSFC_NC_baseline_lag_sample","NSFC","NC","ols","baseline_lag_sample","RS:ID015F",0.243770626881476,0.0174380531583577,13.9792340731936,2.10529041060399e-44,NA,"***",1118851
"NSFC_NC_plus_fund_lag","NSFC","NC","ols","plus_fund_lag","RS",-0.137162433932312,0.00883230616300376,-15.5296285478474,2.21526208931038e-54,NA,"***",1118851
"NSFC_NC_plus_fund_lag","NSFC","NC","ols","plus_fund_lag","ID015F",-0.0490010929084793,0.00268597114975532,-18.2433429759449,2.39608717475558e-74,NA,"***",1118851
"NSFC_NC_plus_fund_lag","NSFC","NC","ols","plus_fund_lag","fund_lag",-0.016542641942457,0.000282504000225328,-58.5571953999323,0,NA,"***",1118851
"NSFC_NC_plus_fund_lag","NSFC","NC","ols","plus_fund_lag","RS:ID015F",0.238800247664177,0.0174183333100533,13.7097070892741,8.95269784759624e-43,NA,"***",1118851
"NSFC_Hit15_baseline_full_sample","NSFC","Hit15","logit","baseline_full_sample","RS",-0.36730537989111,0.0501785048652385,-7.31997457631631,2.48017939562796e-13,0.692598107211772,"***",1118819
"NSFC_Hit15_baseline_full_sample","NSFC","Hit15","logit","baseline_full_sample","ID015F",-0.170549270879648,0.0153820150518504,-11.0875766474518,1.44139696069424e-28,0.84320154332335,"***",1118819
"NSFC_Hit15_baseline_full_sample","NSFC","Hit15","logit","baseline_full_sample","RS:ID015F",0.73756710701705,0.0986678990778541,7.47524893010107,7.70578464773482e-14,2.09084252554907,"***",1118819
"NSFC_Hit15_baseline_lag_sample","NSFC","Hit15","logit","baseline_lag_sample","RS",-0.36730537989111,0.0501785048652385,-7.31997457631631,2.48017939562796e-13,0.692598107211772,"***",1118819
"NSFC_Hit15_baseline_lag_sample","NSFC","Hit15","logit","baseline_lag_sample","ID015F",-0.170549270879648,0.0153820150518504,-11.0875766474518,1.44139696069424e-28,0.84320154332335,"***",1118819
"NSFC_Hit15_baseline_lag_sample","NSFC","Hit15","logit","baseline_lag_sample","RS:ID015F",0.73756710701705,0.0986678990778541,7.47524893010107,7.70578464773482e-14,2.09084252554907,"***",1118819
"NSFC_Hit15_plus_fund_lag","NSFC","Hit15","logit","plus_fund_lag","RS",-0.371526937450556,0.0501685188411596,-7.4055791566592,1.30579322138848e-13,0.68968042734649,"***",1118819
"NSFC_Hit15_plus_fund_lag","NSFC","Hit15","logit","plus_fund_lag","ID015F",-0.169033445973559,0.0153936522944945,-10.9807239204703,4.73117119570467e-28,0.844480658435924,"***",1118819
"NSFC_Hit15_plus_fund_lag","NSFC","Hit15","logit","plus_fund_lag","fund_lag",-0.0641600623045585,0.00176359552662386,-36.3802591557845,8.73621527318764e-290,0.937854872303993,"***",1118819
"NSFC_Hit15_plus_fund_lag","NSFC","Hit15","logit","plus_fund_lag","RS:ID015F",0.723428949561548,0.0987128930366168,7.32861663058743,2.32540540154331e-13,2.06148985001685,"***",1118819
"NIH_NC_baseline_full_sample","NIH","NC","ols","baseline_full_sample","RS",-0.0839799503962095,0.0101966803076698,-8.23600896196001,1.78209615084984e-16,NA,"***",1326373
"NIH_NC_baseline_full_sample","NIH","NC","ols","baseline_full_sample","ID015F",-0.0488356550125682,0.00308825705828534,-15.8133387509143,2.54771889357603e-56,NA,"***",1326373
