"model_id","sample","outcome","family","lag_control","term","estimate","std_error","statistic","p_value","odds_ratio","stars","nobs"
"NSF_Hit15_baseline_full_sample","NSF","Hit15","logit","baseline_full_sample","RS",-0.477184161083963,0.0511945008761457,-9.32100426642324,1.15244258632451e-20,0.620528241616483,"***",753944
"NSF_Hit15_baseline_full_sample","NSF","Hit15","logit","baseline_full_sample","ID015F",-0.0870403174269709,0.0148932881118118,-5.8442646629484,5.08810786526384e-09,0.91664013831631,"***",753944
"NSF_Hit15_baseline_full_sample","NSF","Hit15","logit","baseline_full_sample","RS:ID015F",0.43729177785628,0.0809775128369093,5.40016311364115,6.65803314378366e-08,1.54850783144266,"***",753944
"NSF_Hit15_baseline_lag_sample","NSF","Hit15","logit","baseline_lag_sample","RS",-0.477184161083963,0.0511945008761457,-9.32100426642324,1.15244258632451e-20,0.620528241616483,"***",753944
"NSF_Hit15_baseline_lag_sample","NSF","Hit15","logit","baseline_lag_sample","ID015F",-0.0870403174269709,0.0148932881118118,-5.8442646629484,5.08810786526384e-09,0.91664013831631,"***",753944
"NSF_Hit15_baseline_lag_sample","NSF","Hit15","logit","baseline_lag_sample","RS:ID015F",0.43729177785628,0.0809775128369093,5.40016311364115,6.65803314378366e-08,1.54850783144266,"***",753944
"NSF_Hit15_plus_fund_lag","NSF","Hit15","logit","plus_fund_lag","RS",-0.469003212890035,0.0511986187526965,-9.16046612810884,5.16736261242006e-20,0.625625573086913,"***",753944
"NSF_Hit15_plus_fund_lag","NSF","Hit15","logit","plus_fund_lag","ID015F",-0.0804765497222319,0.0149006656341053,-5.40086944425045,6.63186794933956e-08,0.922676540351223,"***",753944
"NSF_Hit15_plus_fund_lag","NSF","Hit15","logit","plus_fund_lag","fund_lag",-0.0303951298570654,0.00125194165655086,-24.2783916471034,3.31628155182232e-130,0.970062157290238,"***",753944
"NSF_Hit15_plus_fund_lag","NSF","Hit15","logit","plus_fund_lag","RS:ID015F",0.436800986113,0.0809874028550664,5.39344355682934,6.91200447379967e-08,1.54774802305368,"***",753944
"NSFC_NC_baseline_full_sample","NSFC","NC","ols","baseline_full_sample","RS",-0.139858194907627,0.00882556549477414,-15.8469386455112,1.49422226435112e-56,NA,"***",1293586
"NSFC_NC_baseline_full_sample","NSFC","NC","ols","baseline_full_sample","ID015F",-0.056268283712425,0.00223969438636649,-25.1231971892872,2.997751983617e-139,NA,"***",1293586
"NSFC_NC_baseline_full_sample","NSFC","NC","ols","baseline_full_sample","RS:ID015F",0.250102675230679,0.0147798122952686,16.9219114718218,3.15186670877058e-64,NA,"***",1293586
"NSFC_NC_baseline_lag_sample","NSFC","NC","ols","baseline_lag_sample","RS",-0.139858194907627,0.00882556549477414,-15.8469386455112,1.49422226435112e-56,NA,"***",1293586
"NSFC_NC_baseline_lag_sample","NSFC","NC","ols","baseline_lag_sample","ID015F",-0.056268283712425,0.00223969438636649,-25.1231971892872,2.997751983617e-139,NA,"***",1293586
"NSFC_NC_baseline_lag_sample","NSFC","NC","ols","baseline_lag_sample","RS:ID015F",0.250102675230679,0.0147798122952686,16.9219114718218,3.15186670877058e-64,NA,"***",1293586
"NSFC_NC_plus_fund_lag","NSFC","NC","ols","plus_fund_lag","RS",-0.141302854057304,0.00881358434132898,-16.0323936987477,7.68847246315052e-58,NA,"***",1293586
"NSFC_NC_plus_fund_lag","NSFC","NC","ols","plus_fund_lag","ID015F",-0.0479866424772162,0.00224014700420558,-21.4212024421288,8.83079470231043e-102,NA,"***",1293586
"NSFC_NC_plus_fund_lag","NSFC","NC","ols","plus_fund_lag","fund_lag",-0.0167529318833732,0.00025928984197075,-64.6108299347226,0,NA,"***",1293586
"NSFC_NC_plus_fund_lag","NSFC","NC","ols","plus_fund_lag","RS:ID015F",0.241465862201333,0.0147601243218402,16.3593379660117,3.78402438055636e-60,NA,"***",1293586
"NSFC_Hit15_baseline_full_sample","NSFC","Hit15","logit","baseline_full_sample","RS",-0.376939332351901,0.0500509071314655,-7.53111889384578,5.03073540400661e-14,0.685957688073321,"***",1293553
"NSFC_Hit15_baseline_full_sample","NSFC","Hit15","logit","baseline_full_sample","ID015F",-0.157993719015498,0.0123954323962864,-12.7461240531498,3.27634151511525e-37,0.853855145002572,"***",1293553
"NSFC_Hit15_baseline_full_sample","NSFC","Hit15","logit","baseline_full_sample","RS:ID015F",0.700151949389841,0.0812513178869976,8.61711499084354,6.8662170516162e-18,2.01405871921423,"***",1293553
"NSFC_Hit15_baseline_lag_sample","NSFC","Hit15","logit","baseline_lag_sample","RS",-0.376939332351901,0.0500509071314655,-7.53111889384578,5.03073540400661e-14,0.685957688073321,"***",1293553
"NSFC_Hit15_baseline_lag_sample","NSFC","Hit15","logit","baseline_lag_sample","ID015F",-0.157993719015498,0.0123954323962864,-12.7461240531498,3.27634151511525e-37,0.853855145002572,"***",1293553
"NSFC_Hit15_baseline_lag_sample","NSFC","Hit15","logit","baseline_lag_sample","RS:ID015F",0.700151949389841,0.0812513178869976,8.61711499084354,6.8662170516162e-18,2.01405871921423,"***",1293553
"NSFC_Hit15_plus_fund_lag","NSFC","Hit15","logit","plus_fund_lag","RS",-0.37923596470075,0.0500509060616195,-7.57700498436249,3.53623200776481e-14,0.684384103121661,"***",1293553
"NSFC_Hit15_plus_fund_lag","NSFC","Hit15","logit","plus_fund_lag","ID015F",-0.128277810227635,0.0124217819763462,-10.3268444472704,5.3284711301554e-25,0.879608980826847,"***",1293553
